time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place
1930-12-08T08:01:02.000Z,23.261,120.277,15,6.3,mw,,,,,iscgem,iscgem907791,2015-05-13T18:52:43.000Z,
1930-12-03T18:51:47.000Z,18.233,96.298,10,7.4,mw,,,,,iscgem,iscgem907777,2015-05-13T18:52:43.000Z,
1930-12-02T07:01:30.000Z,25.854,98.356,35,6.2,mw,,,,,iscgem,iscgem907773,2015-05-13T18:52:43.000Z,
1930-11-28T07:32:56.000Z,18.779,-106.767,15,6.3,mw,,,,,iscgem,iscgem907769,2015-05-13T18:52:43.000Z,
1930-11-25T19:02:53.000Z,35.05,139.129,15,6.9,mw,,,,,iscgem,iscgem907761,2015-05-13T18:52:43.000Z,
1930-11-10T13:44:15.000Z,-2.335,138.784,30,6.9,mw,,,,,iscgem,iscgem907732,2015-05-13T18:52:43.000Z,
1930-11-10T13:35:26.000Z,36.417,141.4,30,7.7,mw,,,,,iscgemsup,iscgemsup907731,2015-07-13T17:02:22.000Z,
1930-11-09T19:08:39.000Z,-0.412,132.454,25,7,mw,,,,,iscgem,iscgem907729,2015-05-13T18:52:43.000Z,
1930-10-31T10:24:06.000Z,-11.017,161.894,15,6.5,mw,,,,,iscgem,iscgem907703,2015-05-13T18:52:43.000Z,
1930-10-28T21:10:22.000Z,18.467,146.571,25,6.5,mw,,,,,iscgem,iscgem907674,2015-05-13T18:52:43.000Z,
1930-10-24T20:15:10.000Z,18.426,146.661,25,7.2,mw,,,,,iscgem,iscgem907664,2015-05-13T18:52:43.000Z,
1930-10-08T10:19:21.000Z,-13.8,168.7,15,6.7,mw,,,,,iscgem,iscgem907638,2015-05-13T18:52:43.000Z,
1930-09-30T21:20:50.000Z,-4.448,145.598,15,6.6,mw,,,,,iscgem,iscgem907625,2015-05-13T18:52:43.000Z,
1930-09-25T18:06:26.000Z,-35.323,-179.596,35,6.2,mw,,,,,iscgem,iscgem907614,2015-05-13T18:52:43.000Z,
1930-09-22T01:31:23.000Z,-35.751,-179.768,35,6.3,mw,,,,,iscgem,iscgem907599,2015-05-13T18:52:43.000Z,
1930-09-21T23:04:16.000Z,25.806,98.609,15,6.9,mw,,,,,iscgem,iscgem907598,2015-05-13T18:52:43.000Z,
1930-09-14T03:01:07.000Z,-59.63,150.424,10,6.3,mw,,,,,iscgem,iscgem907592,2015-05-13T18:52:43.000Z,
1930-08-20T20:54:07.000Z,24.752,122.157,15,6.8,mw,,,,,iscgem,iscgem907553,2015-05-13T18:52:43.000Z,
1930-08-18T09:53:44.000Z,-55.802,-27.423,35,6.9,mw,,,,,iscgem,iscgem907549,2015-05-13T18:52:43.000Z,
1930-08-02T16:06:11.000Z,-54.627,-133.709,10,6.3,mw,,,,,iscgem,iscgem907529,2015-05-13T18:52:43.000Z,
1930-07-23T00:08:41.000Z,40.922,15.377,15,6.4,mw,,,,,iscgem,iscgem907513,2015-05-13T18:52:43.000Z,
1930-07-14T22:40:38.000Z,14.097,-90.079,15,6.9,mw,,,,,iscgem,iscgem907498,2015-05-13T18:52:43.000Z,
1930-07-13T19:27:19.000Z,37.969,98.258,10,6.5,mw,,,,,iscgem,iscgem907495,2015-05-13T18:52:43.000Z,
1930-07-13T01:12:09.000Z,-56.21,-70.637,10,6.3,mw,,,,,iscgem,iscgem907493,2015-05-13T18:52:43.000Z,
