MCDGRP	COUNTY	MCD
3	1	5
3	1	10
3	1	15
3	1	20
4	3	5
4	3	10
6	3	15
4	3	20
4	3	25
5	3	35
4	3	40
4	3	45
7	5	5
7	5	10
7	5	15
7	5	20
7	5	25
8	7	8
8	7	15
8	7	20
9	9	5
9	9	10
9	9	15
9	9	20
9	9	25
9	9	30
9	9	35
10	11	5
10	11	10
10	11	15
10	11	20
11	13	5
11	13	10
11	13	15
11	13	20
12	15	5
12	15	10
12	15	15
12	15	20
12	15	30
12	15	40
13	17	5
13	17	10
13	17	15
13	17	20
13	17	25
13	17	30
14	19	5
14	19	10
14	19	15
14	19	20
15	21	5
15	21	10
15	21	15
15	21	20
15	21	25
15	21	30
16	23	5
16	23	10
16	23	15
16	23	20
17	25	5
17	25	10
17	25	15
17	25	20
17	25	25
17	25	30
18	27	5
18	27	10
18	27	15
19	29	5
19	29	10
19	29	15
20	31	5
20	31	10
20	31	20
20	31	25
20	31	30
20	31	40
21	33	5
21	33	10
21	33	12
21	33	23
22	35	5
22	35	10
22	35	15
22	35	20
22	35	25
23	37	5
23	37	10
23	37	15
24	39	5
24	39	20
24	39	25
24	39	30
24	39	40
25	41	5
25	41	10
25	41	15
26	43	5
26	43	10
26	43	15
26	43	20
26	43	25
26	43	30
26	43	35
26	43	40
26	43	45
26	43	50
26	43	55
27	45	6
27	45	10
27	45	13
27	45	21
27	45	25
31	47	5
30	47	10
29	47	15
29	47	25
31	47	30
28	47	35
32	49	5
32	49	10
32	49	20
32	49	25
32	49	30
32	49	35
32	49	40
32	49	45
32	49	50
1	51	5
1	51	10
1	51	15
1	51	20
1	51	25
1	51	30
33	53	5
33	53	10
33	53	15
33	53	20
33	53	25
2	55	5
2	55	15
2	55	25
2	55	30
2	55	35
2	55	45
2	55	50
34	57	5
34	57	10
34	57	15
34	57	20
35	59	5
35	59	10
35	59	15
35	59	20
36	61	5
36	61	10
36	61	15
36	61	20
36	61	25
37	63	5
37	63	10
37	63	15
37	63	20
38	65	5
38	65	10
38	65	15
38	65	20
38	65	25
38	65	30
38	65	35
39	67	5
39	67	10
39	67	16
39	67	25
40	69	10
40	69	15
40	69	20
40	69	25
40	69	30
44	71	5
45	71	10
45	71	15
45	71	20
45	71	25
45	71	30
45	71	35
45	71	40
46	73	15
46	73	22
46	73	26
46	73	29
46	73	50
46	73	53
46	73	55
46	73	62
46	73	72
46	73	75
46	73	83
46	73	104
46	73	113
46	73	118
46	73	127
46	73	135
46	73	140
47	75	5
47	75	10
47	75	15
41	77	5
41	77	10
41	77	15
41	77	20
41	77	25
41	77	30
41	77	40
48	79	5
48	79	10
48	79	15
48	79	20
48	79	25
48	79	30
48	79	35
49	81	6
49	81	10
49	81	12
49	81	15
49	81	30
42	83	5
42	83	25
42	83	30
50	85	5
50	85	10
50	85	15
50	85	20
50	85	25
70	87	5
70	87	10
70	87	15
70	87	20
70	87	25
70	87	30
51	89	5
51	89	10
51	89	20
51	89	25
51	89	28
51	89	30
51	89	40
51	89	45
51	89	50
52	91	5
52	91	10
52	91	15
52	91	20
52	91	25
52	91	30
53	93	5
53	93	10
53	93	15
53	93	20
53	93	25
53	93	30
53	93	35
54	95	4
54	95	10
54	95	20
54	95	25
54	95	30
54	95	35
54	95	40
55	97	5
55	97	15
55	97	25
55	97	30
55	97	35
55	97	50
55	97	55
55	97	60
56	99	5
56	99	10
56	99	15
56	99	20
56	99	25
56	99	30
57	101	15
57	101	25
57	101	30
57	101	35
57	101	40
57	101	45
58	103	10
58	103	15
59	103	20
59	103	25
59	103	30
59	103	35
59	103	40
60	105	5
61	105	10
60	105	15
60	105	20
60	105	25
62	107	5
62	107	10
62	107	15
62	107	20
62	107	25
62	107	30
63	109	5
64	109	10
63	109	15
63	109	20
63	109	25
63	109	30
43	111	5
43	111	10
43	111	15
43	111	20
43	111	25
65	113	5
65	113	10
65	113	15
65	113	25
66	115	5
66	115	10
66	115	15
66	115	20
66	115	25
71	117	3
71	117	5
71	117	10
71	117	15
71	117	25
71	117	35
71	117	40
67	119	5
67	119	10
67	119	15
67	119	20
67	119	25
67	119	30
69	121	5
68	121	20
68	121	25
68	121	30
69	121	40
69	121	45
68	121	50
72	123	5
73	123	10
73	123	15
72	123	25
73	123	30
75	125	5
77	125	10
76	125	15
74	125	20
74	125	25
74	125	30
74	125	35
74	125	50
74	125	60
78	125	65
79	127	5
79	127	10
79	127	15
79	127	25
79	127	30
79	127	35
79	127	40
79	127	45
79	127	50
79	127	55
79	127	60
79	127	65
80	129	5
80	129	10
80	129	13
80	129	15
80	129	25
81	131	5
81	131	10
81	131	15
81	131	20
81	131	25
82	133	5
82	133	10
82	133	15
82	133	20
